Search Keyword,Title,Abstract/Summary/Description,Organism,Sample Size,Cohort,GEO ID,ENA/SRA ID,Library Strategy,Library Source,Database,,Tissue ,source_name,tissue,cell_line,cell_type,,Schizophrenia,Bipolar disorder,Anxiety,Depression,Major Depressive Disorder,Bipolar Depression,Bipolar Mania,Comments,RNA-seq,Treatment,Notes (Treatment)
Schizophrenia,Genome-wide transcriptional analysis of human iPSC-derived healthy control vs. schizophrenia cortical interneurons,(Submitter supplied) We report specific changes in schizophrenia developmental interneurons by genome-wide transcriptome analysis.,Homo sapiens,56,,GSE121376,SRP165962,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iPSC-derived interneurons,cortical interneurons,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Pilot transcriptome analysis of human iPSC-derived healthy control vs. schizophrenia cortical interneurons,(Submitter supplied) We report specific changes in schizophrenia developmental interneurons by genome-wide transcriptome analysis.,Homo sapiens,18,,GSE125805,SRP182776,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,interneurons,,,iPSC-derived interneurons,,Yes,No,No,No,No,No,No,Schizophrenia (n=9); control (n=9),RNA-seq,No,
Schizophrenia,Genome-wide transcriptional analysis of human iPSC-derived healthy control vs. schizophrenia cortical interneurons.,(Submitter supplied) We report specific changes in schizophrenia developmental interneurons by genome-wide transcriptome analysis.,Homo sapiens,60,,GSE125999,SRP183146,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,interneurons,,,iPSC-derived interneurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Gene Expression in Postmortem DLPFC and Hippocampus from Schizophrenia and Mood Disorders,"Whole-genome expression analysis across major mental disorders allows examining disease-specific changes and potential common molecular pathogenic mechanisms. We assessed transcription alterations in schizophrenia (SZ), bipolar disorder (BP) and major depression (MDD) as compared to controls (C) in two relevant regions, hippocampus and dorsolateral prefrontal cortex (DLPFC), and in control tissue, dura, for a large cohort of individuals (total number 470 subjects for hippocampus, 691 for DLPFC and 150 for dura). We found a pattern of downregulation of gene expression in SZ, differences in expression between SZ and BP, and between the regions. 37 genes were differentially expressed in SZ vs C in both DLPFC and Hippocampus. Using qPCR, we validated ALDH1a1, which was downregulated in both regions in SZ. There were no differentially expressed genes in dura.",Homo sapiens,726,,,SRP188237,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,,,,,Yes,No,No,No,Yes,No,No,,RNA-seq,No,
Schizophrenia,Deconvolution of Transcriptional Networks Identifies TCF4 as a Master Regulator in Schizophrenia,(Submitter supplied) We report the data generated upon knockdown of TCF4 in hiPSC-derived neural progenitor cells and glutamatergic neurons.,Homo sapiens,23,,GSE128333,SRP188467,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Day 14 control sample from a schizophrenia individual|Day 14 control sample from cell line CD07|Day 14 control sample from cell line CD09|Day 14 knockdown sample from a schizophrenia individual|Day 14 knockdown sample from cell line CD07|Day 14 knockdown sample from cell line CD09|Day 3 control sample from a schizophrenia individual|Day 3 knockdown sample from a schizophrenia individual,,CD07|CD09,IPSC-derived glutamatergic neurons|IPSC-derived neural progenitor cells,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Transcriptomic analysis of ATP6V1A knock-down and amyloid beta-treated neurons,"(Submitter supplied) ATP6V1A plays a unique role in synapse function in neurons and we found decreased neuronal activity in ATP6V1A-deficient neurons. To characterize the molecular pathways regulated by ATP6V1A under both normal and stressed conditions, we generated hiPSC-derived NGN2-neurons with reduced ATP6V1A expression by CRISPRi knock-down (KD) and performed RNA-seq analysis on the wild-type and KD neurons which were subject to amyloid-beta or vehicle treatment. more...",Homo sapiens,20,,GSE128367,SRP188549,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,National Institute of Mental Health (NIMH) childhood-onset schizophrenia (COS) cohort,,,hiPSC-derived NGN2-neurons,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,amyloid-beta
Schizophrenia,Genome-wide transcriptome analysis of human iPSC-derived healty control and schizophrenia cortical interneurons under inflammation conditions.,"(Submitter supplied) We report changes in gene expression in cortical interneurons under inflammation conditions by genome-wide transcriptome analysis, compared to the previous dataset generated without inflammation conditions (GSE118313).",Homo sapiens,24,,GSE132689,SRP201367,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,interneurons,iPSC-derived interneurons,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,RNA sequencing for human induced pluripotent derived cerebral organoids,(Submitter supplied) Total RNA sequecing for human induced pluripotent derived cerebral organoids from healthy controls and schizophrenia (SCZ) patients,Homo sapiens,21,,GSE133534,SRP212636,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,cerebral organoids,,,Human iPSC derived cerebral organoids,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Genome-wide molecular effects of the neuropsychiatric 16p11 CNVs in an iPSC-iN neuronal model,"(Submitter supplied) Copy number variants (CNVs), either deletions or duplications, at the 16p11.2 locus in the human genome are known to increase the risk for autism spectrum disorders (ASD), schizophrenia, and for several other developmental conditions. Here, we investigate the global effects on gene expression and DNA methylation using a 16p11.2 CNV patient-derived induced pluripotent stem cell (iPSC) to induced neuron (iN) cell model system. more...",Homo sapiens,27,,GSE133615,SRP212694,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,induced neuron|induced pluripotent stem cell,,,induced neuron,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Total RNA sequecing for human induced pluripotent derived cerebral organoids,(Submitter supplied) Total RNA sequecing for human induced pluripotent derived cerebral organoids from healthy controls and Bipolar disorder,Homo sapiens,22,,GSE134497,SRP215268,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,cerebral organoids,,,Human iPSC derived cerebral organoids,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Hippocampal Subfield Transcriptome Analysis in Schizophrenia Psychosis,"(Submitter supplied) We have previously demonstrated functional and molecular changes in hippocampal subfields in individuals with schizophrenia (SZ) psychosis associated with hippocampal excitability. In this study, we use RNA-seq and assess global transcriptome changes in the hippocampal subfields, DG, CA3, and CA1 from individuals with SZ psychosis and controls to elucidate subfield-relevant molecular changes. We also examine changes in gene expression due to antipsychotic medication in the hippocampal subfields from our SZ ON- and OFF-antipsychotic medication cohort. more...",Homo sapiens,78,,GSE138082,SRP223448,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,hippocampus,hippocampus,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Depression,Sex-specific role for the long non-coding RNA linc00473 in depression,"Depression is a common disorder that affects women at twice the rate of men. Here we report that long non-coding RNAs (lncRNAs), a recently discovered class of regulatory transcripts, represent about one-third of the differentially expressed genes in the brains of depressed humans, and display complex region- and sex-specific patterns of regulation. We identified the primate-specific, neuronal-enriched gene, linc00473, as downregulated in prefrontal cortex of depressed females but not males. Using viral-mediated gene transfer to express linc00473 in mouse prefrontal cortex neurons, we mirrored the human sex-specific phenotype by inducing stress resilience solely in female mice. This sex-specific phenotype was accompanied by changes in synaptic function and gene expression selectively in female mice and, along with studies of human neuron-like cells in culture, implicates linc00473 as a CREB effector. Together, our studies identify linc00473 as a female-specific driver of stress resilience that is aberrant in female depression. Overall design: RNA profiled in mPFC of female mice expressing linc00473 or GFP only in mPFC, either at baseline or after CVS (chronic variable stress). RNA-seq of NPCs derived from male or female healthy human subjects after knockdown of linc00473; Chromatin isolation by RNA purification (ChIRP) followed by DNA-sequencing (DNA-seq) to identify direct partners for linc00473 in human cells;",Homo sapiens,11,,GSE138677,SRP225011,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,Brain|Cells,Brain,SHSY5Y|cl_2607|cl_3121|cl_3182|cl_3188|cl_553|cl_690,NPCs|prefrontal cortex neurons,only 11 are human RNA seq related samples,No,No,No,Yes,No,No,No,,RNA-seq,No,
Schizophrenia,Genetic regulation of expression in the granule cell layer of the human dentate gyrus,Genetic regulation of expression in the granule cell layer of the human dentate gyrus,Homo sapiens,263,,,SRP241159,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,Human Hippocampus,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Transcription factor POU3F2 regulates TRIM8 expression contributing to cellular functions implicated in schizophrenia,"(Submitter supplied) Schizophrenia (SCZ) is a neuropsychiatric disorder with aberrant expression of multiple genes. However, identifying its exact causal genes remains a considerable challenge. The brain-specific transcription factor POU3F2 (POU domain, class 3, transcription factor 2) has been recognized as a risk factor for SCZ, but our understanding of its target genes and pathogenic mechanisms are still limited. Here we report that 42 SCZ-related genes are regulated by POU3F2 in knockdown and RNA sequencing experiments of human neural progenitor cells (NPCs). more...",Homo sapiens,12,,GSE143692,SRP242009,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Neural progenitor cells,,,iPSCs-derived Neural progenitor cells,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Chromatin profiling in human neurons reveals aberrant roles for histone acetylation and BRD4 in schizophrenia,"Schizophrenia (SZ) is a psychiatric disorder with complex genetic risk dictated by interactions between hundreds of risk variants. Epigenetic factors, such as histone posttranslational modifications (PTMs), have been shown to play critical roles in many neurodevelopmental processes, and when perturbed may also contribute to the precipitation of disease. Here, we applied an unbiased proteomics approach to evaluate combinatorial histone PTMs in human induced pluripotent stem cell (hiPSC)-derived forebrain neurons from individuals with SZ. We observed hyper-acetylation of H2A.Z and H4 in neurons derived from SZ cases, results that were confirmed in postmortem human brain. We demonstrated that the bromodomain containing protein, BRD4, is a bona fide 'reader' of H2A.Z acetylation, and further provide evidence that BRD4 inhibition ameliorates transcriptional abnormalities in patient-derived neurons and improves sensorimotor gating behavior in mice. Thus, treatments aimed at alleviating BRD4 interactions with hyperacetylated histones may aid in the prevention or treatment of SZ. Overall design: Human induced pluripotent stem cell (hiPSC)-derived forebrain neurons from control individuals or individuals with schizophrenia were treated with vehicle (PBS) or JQ1, and RNA-seq was performed. H2A.Zac ChIP-seq in HeLa cells (n=3, plus 3 respective inputs)",Homo sapiens,14,,GSE144639,SRP246389,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,HeLa|hiPSC forebrain neurons,,HeLa,hiPSC forebrain neurons,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,"JQ1, vehicle"
Schizophrenia,Investigation of de novo mutations in a schizophrenia case-parent trio by induced pluripotent stem cell based in vitro disease-modelling: Convergence of schizophrenia and autism-related cellular phenotypes,"(Submitter supplied) Background De novo mutations (DNMs) have been implicated in the etiology of schizophrenia (SZ), a chronic debilitating psychiatric disorder characterized by hallucinations, delusions, cognitive dysfunction, and decreased community functioning. Several DNMs have been identified by examining SZ cases and their unaffected parents; however, in most cases, the biological significance of these mutations remains elusive. more...",Homo sapiens,18,,GSE145656,SRP250204,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Neuronal progenitor cell,,SZ-HU-FA|SZ-HU-MO|SZ-HU-MO-2|SZ-HU-PROB|SZ-HU-PROB-2,IPSC-derived neural progenitor cells,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Genome-wide transcriptome analysis of human iPSC-derived cortical interneurons under inflammation conditions,(Submitter supplied) We report changes in gene expression in cortical interneurons under inflammation conditions by genome-wide transcriptome analysis.,Homo sapiens,32,,GSE152438,SRP267250,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,interneurons,,,iPSC-derived interneurons,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,IL17
Schizophrenia,Genome-wide transcriptome analysis of human iPSC-derived migratory cortical interneurons.,(Submitter supplied) We report changes of gene expression in migratory cortical interneurons derived from healthy control vs schizophrenia iPSCs by genome-wide transcriptome analysis.,Homo sapiens,16,,GSE155067,SRP273437,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,healthy_migrated interneurons|healthy_not-migrated interneurons|schizophrenia_migrated interneurons|schizophrenia_not-migrated interneurons,,,iPSC-derived interneurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Increased IL-6 and altered inflammatory response in bipolar disorder patient-derived astrocytes,(Submitter supplied) The goals of this study are to examine responses to inflammation in astrocytes from induced pluripotent stem cells derived from healthy controls and bipolar disorder patients. We examine the transcriptomic inflmmatory signature of generated astrocytes following Il1Beta exposure in BD vs. control Results: BD-patient astrocytes show a unique inflammatory response with differentially regulated genes.,Homo sapiens,33,,GSE157509,SRP280128,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,ipsc-derived astrocytes,fibroblast derived induced pluripotent stem cells,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Deficient LEF1 expression is associated with lithium resistance and hyperexcitability in neurons derived from bipolar disorder patients,(Submitter supplied) Bipolar disorder (BD) is a psychiatric condition characterized by depressive and manic episodes that affect 2% of the world population. The first-line long-term treatment for mood stabilization is lithium (Li). Induced pluripotent stem cell modeling of BD using hippocampal dentate gyrus-like neurons derived from Li responsive (LR) and Li non-responsive (NR) patients previously showed neuronal hyperexcitability. more...,Homo sapiens,150,,GSE159487,SRP287292,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,neuronal progenitor cells|neurons,,149-51|149-59|149-60|149-61|149-62|JNJ001|JNJ002|JNJ004|JNJ005|JNJ007|JNJ008|JNJ009|JNJ010|JNJ011|JNJ012|RDK9691|RS14474|SM11692|TC11822|WC14934,,,No,Yes,No,No,No,No,No,,RNA-seq,Yes,Lithium
Bipolar Disorder,RNA sequencing in human iPSCs derived from bipolar patients to identify important therapeutic molecular targets of Valproate(VPA),"(Submitter supplied) Valproate(VPA) has been used in the treatment of bipolar disorder since the 1990s. However, the therapeutic targetsof VPA have remained elusive. Here we used RNA sequencing in human iPSCs derived from bipolar patients to further identify important molecular targets. Human iPSCs were homogenized and total RNA was isolated using the RNeasy Plus Micro Kit (Qiagen, Hilden, Germany). RNA quantity and quality were assessed using fluorometry (Qubit RNA Broad Range Assay Kit and Fluorometer; Invitrogen, Carlsbad, CA) and chromatography (Bioanalyzer and RNA 6000 Nano Kit; Agilent, Santa Clara, CA), respectively. more...",Homo sapiens,24,,GSE160761,SRP291012,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,14501C1|14501C3|24339C3,,,clone differentiated into neurons,,No,Yes,No,No,No,No,No,,RNA-seq,Yes,Valproate
Schizophrenia,Total RNA sequencing for human induced pluripotent derived cortical neurons,(Submitter supplied) Total RNA sequencing for human induced pluripotent derived neurons organoids from healthy controls and schizophrenia (SCZ) patients,Homo sapiens,17,,GSE164376,SRP300746,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,2D cortical neurons_SCZ|2D cortical neurons_control,,,Human iPSC derieved cortical neurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Concordance of inflammatory markers in lymphocytes and prefrontal cortex in schizophrenia,"Schizophrenia is a severe neuropsychiatric disorder associated with a wide array of transcriptomic and neurobiochemical changes. Genome-wide transcriptomic profiling conducted in postmortem brain have provided novel insights into the pathophysiology of this disorder, and identified biological processes including immune/inflammatory-related responses, metabolic, endocrine and synaptic function. However, few studies have investigated whether similar changes could be found in peripheral tissue. Here, we used RNA-sequencing to characterize transcriptomic profiles of lymphocytes in 18 non-psychotic controls and 19 individuals with schizophrenia. We identified 2,819 differentially expressed transcripts (pnominal < 0.05) in the schizophrenia group when compared to controls. Bioinformatic analyses conducted on a subset of 293 genes (pnominal < 0.01 and |log2FC| > 0.5) highlighted immune/inflammatory response as key biological processes in our dataset. Differentially expressed genes in lymphocytes were highly enriched for gene expression profiles from cortex layer 5a & immune cells. Thus, we investigated whether the changes in transcripts levels we observed in lymphocytes could also be detected in the prefrontal cortex (PFC, BA10) in a second validation cohort of schizophrenia subjects. Remarkably, mRNA levels detected in the PFC and lymphocytes were in strong agreement, and measurements obtained using RNA-sequencing were positively correlated with data obtained by RT-qPCR analysis. Collectively, our work supports a role for immune dysfunction in the pathogenesis of schizophrenia and suggest that peripheral markers can be used as accessible surrogates to investigate putative central nervous system disruptions. Overall design: Investigation of gene expression profiles in lymphocytes from 18 non-psychotic controls and 19 individuals with schizophrenia.",Homo sapiens,37,,GSE165604,SRP303646,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,Lymphocytes,,,,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,"quetiapine, olanzapine, olanzapine, fluphenazine, haloperidol, clozapine, abilify, fluphenazine, aripiprazole, lurasidone, pimozide"
Major Depressive Disorder,Chronic cortisol differentially impacts Major Depression-patient stem cell derived astrocytes in vitro,"(Submitter supplied) Major Depression (MDD) is a prevalent psychiatric disorder and exposure to stress is robust risk factor for MDD. Clinical data and rodent models have indicated the negative impact of chronic stress induced hormones like cortisol on brain volume, memory, and cell metabolism. However, the cellular and transcriptomic changes that occur in the brain after prolonged exposure to cortisol are less understood. more...",Homo sapiens,35,,GSE178071,SRP323876,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Ast_M1_Cont|Ast_M1_Cort|Ast_M1_EtOH|Ast_M2_Cont|Ast_M2_Cort|Ast_M2_EtOH|Ast_M3_Cont|Ast_M3_Cort|Ast_M3_EtOH|Ast_M4_Cont|Ast_M4_Cort|Ast_M4_EtOH|Ast_M5_Cont|Ast_M5_Cort|Ast_M5_EtOH|Ast_M6_Cont|Ast_M6_Cort|Ast_M6_EtOH|Ast_M7_Cont|Ast_M7_Cort|Ast_M7_EtOH|Ast_M8_Cont|Ast_M8_Cort|Ast_M8_EtOH|Ast_M9_Cont|Ast_M9_Cort|Ast_M9_EtOH|M1_Acute_Cortisol|M1_Acute_ETOH|M1_Chronic_Cortisol|M1_Chronic_ETOH|M2_Acute_Cortisol|M2_Acute_ETOH|M2_Chronic_Cortisol|M2_Chronic_ETOH,,,patient-derived astrocytes,,No,No,No,No,Yes,No,No,"This study is only about ""Major Depression-patient stem cell derived astrocytes in vitro""- not sure why it was picked up for anxiety.",RNA-seq,Yes,"Ethanol (n=13), Cortisol (n=13), Control (n=9)"
Schizophrenia,Mutation of a schizophrenia risk gene SETD1A alters neuronal network activity in human neurons through cAMP/PKA pathway,"(Submitter supplied) Using CRISPR/Cas9 to generate an hiPSC line with SETD1A haploinsufficiency and differentiating it into glutamatergic and GABAergic neurons, we found that SETD1A haploinsufficiency resulted in altered neuronal network activity, which was predominantly defined by increased network burst frequency, whereas unchanged global firing activity. In individual neurons, this network phenotype was reflected functionally by increased synchronized synaptic inputs and structurally by increased somatodendritic complexity in both glutamatergic and GABAergic neurons. more...",Homo sapiens,12,,GSE180648,SRP329466,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iPSC neurons,,,Excitatory and inhibitory hiPSC neurons|Excitatory hiPSC neurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Mutation of a schizophrenia risk gene SETD1A alters neuronal network activity in human neurons through cAMP/PKA pathway,"Using CRISPR/Cas9 to generate an hiPSC line with SETD1A haploinsufficiency and differentiating it into glutamatergic and GABAergic neurons, we found that SETD1A haploinsufficiency resulted in altered neuronal network activity, which was predominantly defined by increased network burst frequency, whereas unchanged global firing activity. In individual neurons, this network phenotype was reflected functionally by increased synchronized synaptic inputs and structurally by increased somatodendritic complexity in both glutamatergic and GABAergic neurons. The transcriptome profile in SETD1A haploinsufficient neurons demonstrated perturbations in gene sets associated with schizophrenia, synaptic transmission, and glutamatergic synaptic function. In addition, transcriptomic data suggested cAMP/PKA pathway might be disturbed in SETD1A haploinsufficient networks, which was further verified by pharmacological experiments. Overall design: Functional and transcriptional analysis of 3 wildtype neuronal hiPSC lines and 3 lines with induced SETD1A haploinsufficiency.",Homo sapiens,12,,GSE180648,SRP329466,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,iPSC neurons,,,Excitatory and inhibitory hiPSC neurons|Excitatory hiPSC neurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Convergent genomic and pharmacological evidence of PI3K/GSK3 signaling alterations in neurons from schizophrenia patients,"(Submitter supplied) From Stertz et al 2021 ""Human-induced pluripotent stem cells (hiPSCs) allow for the establishment of brain cellular models of psychiatric disorders that account for a patient’s genetic background. Here, we conducted an RNA-sequencing profiling study of hiPSC-derived cell lines from schizophrenia (SCZ) subjects, most of which are from a multiplex family, from the population isolate of the Central Valley of Costa Rica. more...",Homo sapiens,32,,GSE182875,SRP334277,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,"Cortical Neuron derived from hiPSC of subject 352|Cortical Neuron derived from hiPSC of subject 353|Cortical Neuron derived from hiPSC of subject 357|Cortical Neuron derived from hiPSC of subject 412|Cortical Neuron derived from hiPSC of subject 413|Cortical Neuron derived from hiPSC of subject 416|Cortical Neuron derived from hiPSC of subject 417|Cortical Neuron derived from hiPSC of subject 418|Cortical Neuron derived from hiPSC of subject 419|Cortical Neuron derived from hiPSC of subject 486|Cortical Neuron derived from hiPSC of subject 624|Limphoblastoid Cell Line of Pooled Healthy Controls: 353, 419, 357|Limphoblastoid Cell Line of Pooled Healthy Controls: 417, 354, 412|Limphoblastoid Cell Line of Pooled Schizophrenia Patients: 416, 486, 624, 352, 413|Limphoblastoid Cell Line of Pooled Schizophrenia Patients: 418, 414|Neural Progenitor Cell from subject 352|Neural Progenitor Cell from subject 353|Neural Progenitor Cell from subject 354|Neural Progenitor Cell from subject 357|Neural Progenitor Cell from subject 412|Neural Progenitor Cell from subject 413|Neural Progenitor Cell from subject 414|Neural Progenitor Cell from subject 416|Neural Progenitor Cell from subject 417|Neural Progenitor Cell from subject 418|Neural Progenitor Cell from subject 419|Neural Progenitor Cell from subject 486|Neural Progenitor Cell from subject 624|hiPSC Cell Line of Pooled Healthy Controls: 353, 419, 357|hiPSC Cell Line of Pooled Healthy Controls: 417, 354, 412|hiPSC Lines of Pooled Schizophrenia Patients: 416, 486, 624, 352, 413|hiPSC Lines of Pooled Schizophrenia Patients: 418, 414",,,Cortical Neuron|Limphoblastoid Cells|Neural Progenitor Cell|hiPSC,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Lithium treatment and human hippocampal neurogenesis,"(Submitter supplied) Lithium is a first-line treatment for bipolar disorder, where it acts as a mood-stabilizing agent. Although its precise mechanism remains unclear, neuroimaging studies have shown that lithium accumulates in the hippocampus and that chronic use amongst bipolar disorder patients is associated with larger hippocampal volumes. Here, we tested the chronic effects of low (0.75 mM) and high (2.25 mM) doses of lithium on human hippocampal progenitor cells and used immunocytochemistry to investigate the effects of lithium on cell parameters implicated in neurogenesis. more...",Homo sapiens,11,,GSE184930,SRP339136,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,,,,,,No,Yes,No,No,No,No,No,,RNA-seq,Yes,"Lithium (high- 2.25 mM [n=4], low- 0.75 mM [n=3]), control [n=4]"
Schizophrenia,Chromatin accessibility mapping at schizophrenia GWAS risk loci reveals compound genetic effects impairing neurodevelopment and synaptic function in human neurons,"Here, in NEUROG2-induced human neurons, we identified 31 credible risk SNPs in 26 schizophrenia (SZ) risk loci that displayed allele-specific open chromatin (ASoC) and were likely to be functional. For the VPS45 locus showing the strongest ASoC, CRISPR/Cas9 editing of ASoC SNP (rs2027349) altered the local expression of VPS45 and AC244033.2 (a lncRNA), and a distal gene, C1orf54. Notably, the global expression changes in neurons correlated with post-mortem brain expression signatures of neuropsychiatric disorders. Neurons carrying risk allele exhibited increased dendritic complexity, synaptic puncta density and hyperactivity, which were partially reversed by knocking-down each cis-regulated gene (VPS45, AC244033.2, or C1orf54), suggesting phenotypic contribution from all three genes.",Homo sapiens,21,,,SRP344891,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,"iPS-differentiated, in vitro cultured NGN2-induced Glutamatergic neuron",,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Shared patterns of glial transcriptional dysregulation link Huntington's disease and schizophrenia,"(Submitter supplied) Huntington’s disease (HD) and juvenile-onset schizophrenia (SCZ) have long been regarded as distinct disorders. However, both manifest cell-intrinsic abnormalities in glial differentiation, with resultant astrocytic dysfunction and hypomyelination. To assess whether a common mechanism might underlie the similar glial pathology of these otherwise disparate conditions, we utilized comparative correlation network approaches to analyze RNA-seq data from human glial progenitor cells (hGPCs) produced from disease-derived pluripotent stem cells. more...",Homo sapiens,137,,GSE188558,SRP345441,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Astrocyte induced from ESC|Astrocyte induced from iPSC|GPC induced from ESC|GPC induced from iPSC,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Attenuated transcriptional response to pro-inflammatory cytokines in schizophrenia hiPSC-derived neural progenitor cells,Attenuated transcriptional response to pro-inflammatory cytokines in schizophrenia hiPSC-derived neural progenitor cells,Homo sapiens,18,,,SRP350706,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,Induced cortical neural progenitor cells,,,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,"interferon-gamma, interleukin-1 beta, or vehicle"
Schizophrenia,Gene expression analysis of transplanted hiPSC-astrocyte progenitors generated from monozygotic twin pair discordant for schizophrenia into mouse brain,Gene expression analysis of transplanted hiPSC-astrocyte progenitors generated from monozygotic twin pair discordant for schizophrenia into mouse brain,Homo sapiens,21,,GSE191249,SRP351616,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,"Mouse cortex, no transplantation|human iPSC-astrocyte progenitor transplanted RAG1 mouse cortical sample",cortex,,human iPSC-astrocyte progenitor transplanted RAG1 mouse cortical sample,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Gene expression analysis of astrocytes differentiated from iPS cells generated from monozygotic twins discordant for schizophrenia,"(Submitter supplied) Previous studies have implicated several brain cell types in schizophrenia, but the genetic impact of astrocytes is unknown. Considering their high complexity in humans, astrocytes are likely key determinants of neurodevelopmental diseases. Human induced pluripotent stem cell (hiPSC) -derived astrocytes differentiated from five monozygotic twin pairs discordant for schizophrenia and five healthy subjects were studied for alterations related to high genetic risk and clinical manifestation of SCZ in astrocyte transcriptomics.",Homo sapiens,16,,GSE191248,SRP351617,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,hiPSC-derived brain astrocytes,,,hiPSC-derived brain astrocytes,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Major Depressive Disorder,Cell-Specific Transcriptomic Analysis of CRH+ cells Identifies Unique Cellular Responses to Chronic Stress,"(Submitter supplied) Rationale: A previous transcriptome meta-analysis revealed significantly lower levels of corticotropin-releasing hormone (CRH) mRNA in corticolimbic brain regions in major depressive disorder (MDD) subjects. Rodent studies show that cortical CRH is mostly expressed in GABAergic neurons; however, the characteristic features of CRH+ cells in human brain cortex and their association with MDD are largely unknown. more...",Homo sapiens,12,,GSE193417,SRP354339,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,sgACC_MDD|sgACC_control,Subgenual anterior cingulate cortex (sgACC),,,,No,No,No,No,Yes,No,No,,RNA-seq,No,
Depression,Gene expressional changes in the dorsomedial prefrontal cortex of suicide victims,Gene expressional changes in the dorsomedial prefrontal cortex of suicide victims,Homo sapiens,16,,,SRP371074,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,Brain,,,,No,No,No,Yes,No,No,No,,RNA-seq,No,
